hard
10,4
15,12
19,4
9,15
16,3
21,6
20,8
19,5
22,6
1,4
28,12
14,0
23,3
4,6
29,5
3,15
8,10
19,6
14,8
26,3
29,13
21,3
21,13
10,3
9,6
10,10
10,0
14,15
11,1
7,10
7,4
12,10
10,5
20,3
17,12
29,8
0,2
6,0
3,5
26,8
8,15
9,7
12,6
28,0
10,12
17,11
19,13
6,4
2,3
17,4
20,1
25,9
17,14
16,11
11,3
1,5
27,5
3,0
1,14
6,15
14,9
21,8
14,5
11,5
23,11
28,3
15,7
18,7
0,4
25,13
17,10
1,10
20,14
10,7
27,6
16,9
29,3
16,1
6,14
13,4
23,6
18,13
7,9
20,12
24,15
1,9
5,3
27,12
4,3
2,9
2,15
4,11
10,6
27,8
4,14
6,7
22,7
28,15
18,10
